  5.7758533996E-04  2.2200955458E-05 -3.5594471963E-04 -3.1670050327E-04 -3.5425080672E-04 -3.3720754583E-04
  7.5646332755E-04  5.0880141282E-05 -7.8372795400E-04 -6.9525078579E-04 -7.7886715399E-04 -7.4127012706E-04
  9.9073976838E-04  1.1678313823E-04 -1.7168970765E-03 -1.5180388130E-03 -1.7031226775E-03 -1.6210475523E-03
  1.2975715450E-03  2.7012712541E-04 -3.7345040666E-03 -3.2854342228E-03 -3.6961118341E-03 -3.5171691157E-03
  1.6994290207E-03  6.2343911342E-04 -8.0433185028E-03 -7.0360001931E-03 -7.9383160713E-03 -7.5544368750E-03
  2.2257416229E-03  1.4260348945E-03 -1.7094812743E-02 -1.4867366688E-02 -1.6813768916E-02 -1.6012357755E-02
  2.9150530628E-03  3.2249001788E-03 -3.5698320606E-02 -3.0854595412E-02 -3.4965357223E-02 -3.3346532208E-02
  3.8178440264E-03  7.2133566986E-03 -7.2846956805E-02 -6.2467026545E-02 -7.0995320971E-02 -6.7828747410E-02
  5.0002290509E-03  1.5883547755E-02 -1.4425591772E-01 -1.2242435265E-01 -1.3975911876E-01 -1.3381110145E-01
  6.5487983241E-03  3.4307651905E-02 -2.7479015962E-01 -2.2968724967E-01 -2.6439079895E-01 -2.5359554090E-01
  8.5769589859E-03  7.3223765420E-02 -4.9738920430E-01 -4.0403128364E-01 -4.7475330648E-01 -4.5461915124E-01
  1.1233240330E-02  1.3697988944E-01 -8.6407848733E-01 -6.9023987351E-01 -8.1817726950E-01 -7.8132863286E-01
  1.4712171122E-02  2.9149892302E-01 -1.3373701792E+00 -9.5540235094E-01 -1.2524075676E+00 -1.1619675029E+00
  1.9268525623E-02  6.0450601853E-01 -1.8526374538E+00 -1.0080030452E+00 -1.7101717884E+00 -1.4700950186E+00
  2.5235981596E-02  1.1598548955E+00 -2.3042418270E+00 -5.7490747486E-01 -2.0870141374E+00 -1.5176918939E+00
  3.3051556699E-02  1.8975800284E+00 -2.7723539147E+00  1.5309829404E-01 -2.4623310570E+00 -1.4345981870E+00
  4.3287612811E-02  2.6026165913E+00 -3.5107511387E+00  4.6667897795E-01 -3.0863368126E+00 -1.7113925889E+00
  5.6693772094E-02  3.9271170504E+00 -3.9331863834E+00  2.2645070704E+00 -3.3988692718E+00 -1.1273481574E+00
  7.4251814446E-02  5.6630854802E+00 -3.7641326788E+00  5.5950209918E+00 -3.1621648291E+00  5.3662204288E-01
  9.7247576672E-02  5.8471466985E+00 -3.8744575399E+00  5.6772694503E+00 -3.2218789732E+00  4.8811707120E-01
  1.2736511881E-01  7.2336418129E+00 -3.5902216597E+00  8.5333218601E+00 -2.9243960088E+00  1.9762822299E+00
  1.6681005372E-01  7.2995283243E+00 -3.0596685299E+00  9.2766454315E+00 -2.4419210107E+00  2.6125720692E+00
  2.1847107185E-01  6.9115424248E+00 -2.5389490338E+00  9.1788776353E+00 -1.9892301359E+00  2.8424052431E+00
  2.8613149010E-01  6.3830937710E+00 -1.9849008934E+00  8.8954155544E+00 -1.5246771766E+00  3.0053457679E+00
  3.7474631737E-01  5.3397208074E+00 -1.4497658685E+00  7.6509672811E+00 -1.0916820002E+00  2.7061591988E+00
  4.9080512717E-01  4.2793549540E+00 -9.7956436211E-01  6.3423902238E+00 -7.2482826869E-01  2.3534095788E+00
  6.4280731173E-01  3.0461498970E+00 -5.7547910393E-01  4.6676218653E+00 -4.2025088938E-01  1.8050329696E+00
  8.4188452227E-01  1.7700480003E+00 -2.6758966543E-01  2.8162052175E+00 -1.9452988869E-01  1.1357703834E+00
  1.1026158787E+00  7.1774509652E-01 -8.2703649883E-02  1.1830486448E+00 -6.0511547730E-02  4.9381213750E-01
  1.4440956494E+00  1.5592206959E-01 -1.2668416781E-02  2.6129155318E-01 -9.4124847245E-03  1.1008392632E-01
  1.8913315915E+00  2.4057897039E-03 -5.5172954537E-04  7.3339856249E-03 -4.3807262771E-04  4.8443710963E-03
  2.4770763560E+00 -3.2039867669E-05 -3.0289402866E-06 -2.7793429200E-06 -2.6892614066E-06  2.5265565680E-05
  3.2442260792E+00  5.4933768876E-08 -7.7471125984E-10  8.0533341020E-08 -6.7737654213E-10  2.7697666663E-08
  4.2489618163E+00  1.9693848712E-14 -7.6621145372E-16  4.1139711828E-14 -6.9835900280E-16  2.1227975673E-14
  5.5648638770E+00  3.6086397700E-24 -7.5852874809E-26  6.9881421806E-24 -7.1459650275E-26  3.3889430330E-24
  7.2883003679E+00  7.9317082720E-41 -1.0881610793E-42  1.5544278236E-40 -1.0477487722E-42  7.6236951824E-41
  9.5454845666E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
