  5.7758533996E-04 -1.8582812741E-03 -2.2260818556E-03 -7.9314450698E-04  4.1028544159E-06  9.8452244904E-07  2.1626547280E-08  1.8842476451E-08 -6.4434710042E-08  2.2500877129E-08
  7.5646332755E-04 -3.1850407083E-03 -3.8138520403E-03 -1.3577195778E-03  1.1866001943E-05  2.6103657523E-06 -7.7763918442E-08  2.3512821280E-07 -1.6136808090E-07  8.6866682898E-08
  9.9073976838E-04 -5.4561333002E-03 -6.5287727788E-03 -2.3210387267E-03  3.4282006918E-05  6.9701496192E-06 -5.8488403966E-07  1.4632699883E-06 -4.0504505581E-07  4.0335046514E-07
  1.2975715450E-03 -9.3381808084E-03 -1.1161283506E-02 -3.9592546907E-03  9.8697991487E-05  1.8748096052E-05 -2.5735530109E-06  7.7049828203E-06 -8.7907827641E-07  2.0616922168E-06
  1.6994290207E-03 -1.5958388307E-02 -1.9039273546E-02 -6.7306795323E-03  2.8078546136E-04  5.1241654920E-05 -9.1592067654E-06  3.2313876830E-05 -1.3379027436E-06  8.3753696759E-06
  2.2257416229E-03 -2.7205552349E-02 -3.2365195581E-02 -1.1381488569E-02  7.8775869094E-04  1.4197910632E-04 -2.8874722861E-05  1.2025724528E-04 -1.0100006036E-06  3.0795660192E-05
  2.9150530628E-03 -4.6198509427E-02 -5.4719290995E-02 -1.9091242513E-02  2.1745830485E-03  3.9382166089E-04 -8.4848022877E-05  4.2140706936E-04  2.8593153829E-06  1.0914462094E-04
  3.8178440264E-03 -7.7967928923E-02 -9.1740946417E-02 -3.1642090841E-02  5.8796878546E-03  1.0783423437E-03 -2.3809219436E-04  1.4122826341E-03  1.8885050995E-05  3.7545790701E-04
  5.0002290509E-03 -1.3033366796E-01 -1.5188716203E-01 -5.1544713907E-02  1.5482891676E-02  2.8732422325E-03 -6.4687914814E-04  4.5552049973E-03  7.6454425741E-05  1.2546857898E-03
  6.5487983241E-03 -2.1475139947E-01 -2.4688620295E-01 -8.1960345929E-02  3.9388820241E-02  7.3620426699E-03 -1.7005568290E-03  1.4037783066E-02  2.7210438319E-04  4.0172819547E-03
  8.5769589859E-03 -3.4645523194E-01 -3.9102155690E-01 -1.2615573250E-01  9.5802015110E-02  1.7829899819E-02 -4.3152408224E-03  4.0985794207E-02  8.8565762425E-04  1.2222465994E-02
  1.1233240330E-02 -5.4255673053E-01 -5.9793094098E-01 -1.8626648959E-01  2.1958455254E-01  3.9736389588E-02 -1.0567359715E-02  1.1182384890E-01  2.6147613115E-03  3.4853478313E-02
  1.4712171122E-02 -8.1666643906E-01 -8.7435997502E-01 -2.6166540260E-01  4.6518011441E-01  7.8233639281E-02 -2.5054037433E-02  2.7933195411E-01  7.1620571770E-03  9.0948892098E-02
  1.9268525623E-02 -1.1711368324E+00 -1.2141045106E+00 -3.4826313324E-01  8.9068229200E-01  1.2777227464E-01 -5.7490578211E-02  6.2437803902E-01  1.9076476832E-02  2.1119110537E-01
  2.5235981596E-02 -1.5944989872E+00 -1.6006526008E+00 -4.4006843991E-01  1.5126919590E+00  1.5954237785E-01 -1.2518451137E-01  1.2151443816E+00  5.3214845108E-02  4.1799050580E-01
  3.3051556699E-02 -2.0703794852E+00 -2.0176432989E+00 -5.3025054359E-01  2.3037175194E+00  1.6114340978E-01 -2.4319562634E-01  2.0345037127E+00  1.5157179380E-01  6.7702913184E-01
  4.3287612811E-02 -2.5662763238E+00 -2.4257508763E+00 -6.0475684713E-01  3.3641965955E+00  2.6318598693E-01 -3.8243712828E-01  3.0642409188E+00  3.6011392729E-01  9.3427942035E-01
  5.6693772094E-02 -2.9721197846E+00 -2.7075191305E+00 -6.4022661514E-01  4.7864417785E+00  5.2873054378E-01 -4.7196053049E-01  4.4557464277E+00  5.3021601486E-01  1.3615016496E+00
  7.4251814446E-02 -3.1866835931E+00 -2.8008649895E+00 -6.3147389072E-01  5.8800778328E+00  4.8547458007E-01 -6.0174650263E-01  5.9112111789E+00  5.5903261229E-01  1.9613909788E+00
  9.7247576672E-02 -3.2695104228E+00 -2.7952235508E+00 -5.9405182468E-01  6.4636257701E+00  3.1137156763E-01 -8.3454876961E-01  6.8591956749E+00  8.8759194032E-01  2.1438161578E+00
  1.2736511881E-01 -3.1499730488E+00 -2.6036174283E+00 -5.2250142770E-01  7.2884588750E+00  6.7932583281E-01 -8.5448263533E-01  7.6606130789E+00  1.2075653938E+00  2.2310258039E+00
  1.6681005372E-01 -2.8084230576E+00 -2.2484185087E+00 -4.2724246201E-01  7.0426864247E+00  4.6786304169E-01 -8.6841198215E-01  7.7899051037E+00  1.1061577115E+00  2.4011204952E+00
  2.1847107185E-01 -2.3886104661E+00 -1.8582128290E+00 -3.3083451161E-01  6.4628979145E+00  4.0153959840E-01 -8.6473411221E-01  7.2925215021E+00  1.2160566824E+00  2.1304235962E+00
  2.8613149010E-01 -1.9039790855E+00 -1.4354373207E+00 -2.3849695298E-01  5.6900259726E+00  4.3067077127E-01 -7.5684571788E-01  6.4617469743E+00  1.1897711769E+00  1.8115046165E+00
  3.7474631737E-01 -1.4024265508E+00 -1.0213824800E+00 -1.5667244693E-01  4.6237959692E+00  3.7607480370E-01 -6.0778226370E-01  5.3229612772E+00  1.0116183733E+00  1.4769787931E+00
  4.9080512717E-01 -9.2893863040E-01 -6.4884913235E-01 -9.0386233144E-02  3.5409235501E+00  3.8821055832E-01 -4.2311686609E-01  4.0832522664E+00  8.1132743250E-01  1.1098834255E+00
