1.000000000000000048e-04 2.230544349598557346e+03
1.097498765493055609e-04 2.439318194337532532e+03
1.204503540258782343e-04 2.667569595147816017e+03
1.321941148466028784e-04 2.917095352354496754e+03
1.450828778495940057e-04 3.189853267666667762e+03
1.592282793341092296e-04 3.487973214402294161e+03
1.747528400007682938e-04 3.813769412694147832e+03
1.917910261672488628e-04 4.169757535850443674e+03
2.104904144512019808e-04 4.558661576429947672e+03
2.310129700083160510e-04 4.983435079210983531e+03
2.535364493970111472e-04 5.447269423623617513e+03
2.782559402207125773e-04 5.953605796380223182e+03
3.053855508833415791e-04 6.506156932922482156e+03
3.351602650938841099e-04 7.108901318099702621e+03
3.678379771828634167e-04 7.766111890386143386e+03
4.037017258596553842e-04 8.482351391798963959e+03
4.430621457583881957e-04 9.262477731170511106e+03
4.862601580065353422e-04 1.011166188002597482e+04
5.336699231206312212e-04 1.103535249619583919e+04
5.857020818056667437e-04 1.203930492003430481e+04
6.428073117284319269e-04 1.312952632725946205e+04
7.054802310718645249e-04 1.431225586765127446e+04
7.742636826811269846e-04 1.559393164015757429e+04
8.497534359086446505e-04 1.698100263228085169e+04
9.326033468832199040e-04 1.847998615382819844e+04
1.023531021899026913e-03 2.009732917652909964e+04
1.123324032978027624e-03 2.183932698101050119e+04
1.232846739442065853e-03 2.371195518763175642e+04
1.353047774579807646e-03 2.572044054408105876e+04
1.484968262254465028e-03 2.786932231730135391e+04
1.629750834620643553e-03 3.016198381726623484e+04
1.788649529057435026e-03 3.260046595212443935e+04
1.963040650040272575e-03 3.518521636742840201e+04
2.154434690031884272e-03 3.791446386318531586e+04
2.364489412645406994e-03 4.078420091236832377e+04
2.595024211399737154e-03 4.378723636169301608e+04
2.848035868435802066e-03 4.691301355119988875e+04
3.125715849688235400e-03 5.014701886779245979e+04
3.430469286314919049e-03 5.346960355601205811e+04
3.764935806792471442e-03 5.685653146598248713e+04
4.132012400115338442e-03 6.027776014958648739e+04
4.534878508128581745e-03 6.369773839131370914e+04
4.977023564332113716e-03 6.707390608895786863e+04
5.462277217684342531e-03 7.035475875255407300e+04
5.994842503189408769e-03 7.348249406042745977e+04
6.579332246575681983e-03 7.638896667619292566e+04
7.220809018385471005e-03 7.899946592350985156e+04
7.924828983539177266e-03 8.123134432899985404e+04
8.697490026177834635e-03 8.299285267403229955e+04
9.545484566618347641e-03 8.419232351766212378e+04
1.047615752789665157e-02 8.473315451180006494e+04
1.149756995397736847e-02 8.452660674502869369e+04
1.261856883066021090e-02 8.349716081743306131e+04
1.384886371393873224e-02 8.158789955246538739e+04
1.519911082952934631e-02 7.877897121515843901e+04
1.668100537200059227e-02 7.510763517367719032e+04
1.830738280295369710e-02 7.065653933720868372e+04
2.009233002565048026e-02 6.560316449568586540e+04
2.205130739903045714e-02 6.019840562381478958e+04
2.420128264794383505e-02 5.470603979733329470e+04
2.656087782946686682e-02 4.948311929518672696e+04
2.915053062825178828e-02 4.481213163798324968e+04
3.199267137797384697e-02 4.088575040953289863e+04
3.511191734215134835e-02 3.778833699706843618e+04
3.853528593710531247e-02 3.537559291449356533e+04
4.229242874389498724e-02 3.328490470904036920e+04
4.641588833612782239e-02 3.098517076243157862e+04
5.094138014816380206e-02 2.800268075494816367e+04
5.590810182512228471e-02 2.424463361367196194e+04
6.135907273413175600e-02 2.022019377521102797e+04
6.734150657750828661e-02 1.680319359440922926e+04
7.390722033525783108e-02 1.459669513812925834e+04
8.111308307896872294e-02 1.339971023733728907e+04
8.902150854450392725e-02 1.224331653706895668e+04
9.770099572992256565e-02 1.035150406665067749e+04
1.072267222010324234e-01 8.265310740505048670e+03
1.176811952434999031e-01 7.001180105124559304e+03
1.291549665014883885e-01 6.339527191705104087e+03
1.417474162926806169e-01 5.314960488297078882e+03
1.555676143930472266e-01 4.263153595685277651e+03
1.707352647470692097e-01 3.715152309028934269e+03
1.873817422860384885e-01 3.096626114952514399e+03
2.056512308348653617e-01 2.535145304452314576e+03
2.257019719633921451e-01 2.147869964124270609e+03
2.477076355991711387e-01 1.750915515729453318e+03
2.718588242732942750e-01 1.459543257255656954e+03
2.983647240283340274e-01 1.195505997769716942e+03
3.274549162877731789e-01 9.822040489865299833e+02
3.593813663804629188e-01 8.052241031866459480e+02
3.944206059437659895e-01 6.573317861838110048e+02
4.328761281083061685e-01 5.355943288414028984e+02
4.750810162102798162e-01 4.354604221705548071e+02
5.214008287999689628e-01 3.533490834300780534e+02
5.722367659350220404e-01 2.860828488279726685e+02
6.280291441834259247e-01 2.311814267980934119e+02
6.892612104349702395e-01 1.864685160444030601e+02
7.564633275546290836e-01 1.501329317447795688e+02
8.302175681319752254e-01 1.206689255471030719e+02
9.111627561154895805e-01 9.682713807307763432e+01
1.000000000000000000e+00 7.757319293475563882e+01
