  5.0531000000E-04  8.0984083590E-04 -6.7314476991E-03 -5.4052146211E-03 -6.7094231151E-03 -6.1930308730E-03
  5.2593000000E-04  9.1290695239E-04 -7.5758434869E-03 -6.0818813820E-03 -7.5500453952E-03 -6.9689902427E-03
  5.4739000000E-04  1.0290663743E-03 -8.5254351307E-03 -6.8426191705E-03 -8.4952209384E-03 -7.8414713525E-03
  5.6973000000E-04  1.1600408951E-03 -9.5937300484E-03 -7.6981869663E-03 -9.5583472310E-03 -8.8228450440E-03
  5.9299000000E-04  1.3077757764E-03 -1.0795931074E-02 -8.6606875198E-03 -1.0754498740E-02 -9.9270309626E-03
  6.1719000000E-04  1.4743658627E-03 -1.2148347738E-02 -9.7430989890E-03 -1.2099841451E-02 -1.1168958564E-02
  6.4237000000E-04  1.6621573768E-03 -1.3669084064E-02 -1.0959806912E-02 -1.3612307202E-02 -1.2565187428E-02
  6.6859000000E-04  1.8738902900E-03 -1.5379186707E-02 -1.2327522622E-02 -1.5312734618E-02 -1.4134960823E-02
  6.9588000000E-04  2.1127051405E-03 -1.7302878079E-02 -1.3865493626E-02 -1.7225115068E-02 -1.5900435755E-02
  7.2427000000E-04  2.3820143406E-03 -1.9466245700E-02 -1.5594419777E-02 -1.9375269266E-02 -1.7885457683E-02
  7.5383000000E-04  2.6856505964E-03 -2.1898178424E-02 -1.7537170599E-02 -2.1791756331E-02 -2.0116399103E-02
  7.8460000000E-04  3.0281334314E-03 -2.4632996138E-02 -1.9720949247E-02 -2.4508527735E-02 -2.2624614275E-02
  8.1662000000E-04  3.4143898804E-03 -2.7707832671E-02 -2.2175161172E-02 -2.7562291080E-02 -2.5444009461E-02
  8.4994000000E-04  3.8498582408E-03 -3.1163256282E-02 -2.4931878422E-02 -3.0993114390E-02 -2.8611594770E-02
  8.8463000000E-04  4.3410298955E-03 -3.5047614753E-02 -2.8029306189E-02 -3.4848748201E-02 -3.2171469532E-02
  9.2073000000E-04  4.8948955574E-03 -3.9412667730E-02 -3.1508311644E-02 -3.9180284560E-02 -3.6170824031E-02
  9.5831000000E-04  5.5196460386E-03 -4.4318791319E-02 -3.5416529182E-02 -4.4047297373E-02 -4.0664681275E-02
  9.9742000000E-04  6.2242687460E-03 -4.9831683038E-02 -3.9805710026E-02 -4.9514574910E-02 -4.5712870644E-02
  1.0381000000E-03  7.0183832765E-03 -5.6021083583E-02 -4.4730745035E-02 -5.5650821777E-02 -5.1378866505E-02
  1.0805000000E-03  7.9149204117E-03 -6.2981869652E-02 -5.0266542934E-02 -6.2549554258E-02 -5.7749147951E-02
  1.1246000000E-03  8.9249406869E-03 -7.0792703045E-02 -5.6474872251E-02 -7.0288112420E-02 -6.4895222314E-02
  1.1705000000E-03  1.0064044149E-02 -7.9566444790E-02 -6.3444596041E-02 -7.8977641214E-02 -7.2919836614E-02
  1.2182000000E-03  1.1347225556E-02 -8.9409819356E-02 -7.1259554787E-02 -8.8723080090E-02 -8.1920041077E-02
  1.2680000000E-03  1.2796803657E-02 -1.0048010527E-01 -8.0043018494E-02 -9.9678965972E-02 -9.2038682851E-02
  1.3197000000E-03  1.4428073275E-02 -1.1288432106E-01 -8.9878915162E-02 -1.1195033802E-01 -1.0337300540E-01
  1.3736000000E-03  1.6269393887E-02 -1.2682118385E-01 -1.0092288262E-01 -1.2573233978E-01 -1.1610343244E-01
  1.4296000000E-03  1.8341962115E-02 -1.4243585607E-01 -1.1328834907E-01 -1.4116716528E-01 -1.3036162039E-01
  1.4880000000E-03  2.0682343240E-02 -1.5998229296E-01 -1.2717397098E-01 -1.5850401936E-01 -1.4637804063E-01
  1.5487000000E-03  2.3316778588E-02 -1.7963515082E-01 -1.4271557886E-01 -1.7791353050E-01 -1.6431073713E-01
  1.6119000000E-03  2.6287100695E-02 -2.0168029044E-01 -1.6013634063E-01 -1.9967574305E-01 -1.8441889394E-01
  1.6777000000E-03  2.9635255216E-02 -2.2639760764E-01 -1.7965393606E-01 -2.2406423531E-01 -2.0695581895E-01
  1.7462000000E-03  3.3409596401E-02 -2.5411054002E-01 -2.0152018144E-01 -2.5139516811E-01 -2.3221440593E-01
  1.8174000000E-03  3.7657517338E-02 -2.8512680537E-01 -2.2597331362E-01 -2.8196854823E-01 -2.6047257381E-01
  1.8916000000E-03  4.2447631897E-02 -3.1989546692E-01 -2.5336133742E-01 -3.1622259378E-01 -2.9213609618E-01
  1.9688000000E-03  4.7843046408E-02 -3.5882703328E-01 -2.8400279792E-01 -3.5455738885E-01 -3.2757619990E-01
  2.0491000000E-03  5.3917970303E-02 -4.0239168285E-01 -3.1825983116E-01 -3.9743051031E-01 -3.6721662892E-01
  2.1328000000E-03  6.0766854947E-02 -4.5119181841E-01 -3.5659816902E-01 -4.4542794258E-01 -4.1160114814E-01
  2.2198000000E-03  6.8473196727E-02 -5.0574783474E-01 -3.9941803947E-01 -4.9905523002E-01 -4.6119863148E-01
  2.3104000000E-03  7.7152421239E-02 -5.6677910032E-01 -4.4727375396E-01 -5.5901048249E-01 -5.1665755737E-01
  2.4047000000E-03  8.6924254013E-02 -6.3501329828E-01 -5.0072169227E-01 -6.2599923807E-01 -5.7863188608E-01
  2.5028000000E-03  9.7920114412E-02 -7.1125232238E-01 -5.6037764874E-01 -7.0079821997E-01 -6.4784366075E-01
  2.6050000000E-03  1.1030247985E-01 -7.9647078537E-01 -6.2698706379E-01 -7.8435005967E-01 -7.2516881794E-01
  2.7113000000E-03  1.2422971775E-01 -8.9159350224E-01 -7.0125231533E-01 -8.7754803355E-01 -8.1143656439E-01
