  4.3816000000E-03  8.0390041005E+03  8.0372383715E+03  8.0353245684E+03  8.0334564635E+03
  4.5604000000E-03  8.2765160396E+03  8.2745510482E+03  8.2724188098E+03  8.2703391700E+03
  4.7465000000E-03  8.5173281446E+03  8.5151426054E+03  8.5127681810E+03  8.5104542574E+03
  4.9402000000E-03  8.7611404004E+03  8.7587109123E+03  8.7560681693E+03  8.7534949684E+03
  5.1419000000E-03  9.0077527970E+03  9.0050536232E+03  9.0021136985E+03  8.9992536566E+03
  5.3517000000E-03  9.2567653143E+03  9.2537685000E+03  9.2504999772E+03  9.2473231395E+03
  5.5701000000E-03  9.5077779320E+03  9.5044527368E+03  9.5008209747E+03  9.4972943667E+03
  5.7974000000E-03  9.7604906353E+03  9.7568035592E+03  9.7527706349E+03  9.7488582168E+03
  6.0340000000E-03  1.0014503404E+04  1.0010417787E+04  1.0005942142E+04  1.0001604486E+04
  6.2803000000E-03  1.0269516223E+04  1.0264992079E+04  1.0260028183E+04  1.0255222168E+04
  6.5366000000E-03  1.0523528991E+04  1.0518523788E+04  1.0513022863E+04  1.0507702416E+04
  6.8033000000E-03  1.0778541810E+04  1.0773008006E+04  1.0766915626E+04  1.0761029366E+04
  7.0810000000E-03  1.1032554579E+04  1.1026441217E+04  1.1019698606E+04  1.1013191198E+04
  7.3700000000E-03  1.1284567247E+04  1.1277819824E+04  1.1270363677E+04  1.1263175657E+04
  7.6708000000E-03  1.1534579814E+04  1.1527139003E+04  1.1518900205E+04  1.1510966771E+04
  7.9838000000E-03  1.1781592231E+04  1.1773394426E+04  1.1764298575E+04  1.1755550134E+04
  8.3096000000E-03  1.2024604447E+04  1.2015581656E+04  1.2005548402E+04  1.1995909984E+04
  8.6488000000E-03  1.2263616461E+04  1.2253695130E+04  1.2242637031E+04  1.2232027206E+04
  9.0017000000E-03  1.2497628224E+04  1.2486730162E+04  1.2474553903E+04  1.2462885996E+04
  9.3691000000E-03  1.2724639636E+04  1.2712682257E+04  1.2699288206E+04  1.2686469994E+04
  9.7514000000E-03  1.2944650695E+04  1.2931546277E+04  1.2916827463E+04  1.2902760147E+04
  1.0149000000E-02  1.3156661352E+04  1.3142317879E+04  1.3126160845E+04  1.3110739943E+04
  1.0564000000E-02  1.3359671557E+04  1.3343988211E+04  1.3326267531E+04  1.3309377852E+04
  1.0995000000E-02  1.3551681209E+04  1.3534558456E+04  1.3515149048E+04  1.3496676269E+04
  1.1443000000E-02  1.3731690257E+04  1.3713024690E+04  1.3691793548E+04  1.3671616523E+04
  1.1910000000E-02  1.3899698703E+04  1.3879377932E+04  1.3856178730E+04  1.3834164459E+04
  1.2397000000E-02  1.4053706444E+04  1.4031615371E+04  1.4006294708E+04  1.3982304425E+04
  1.2902000000E-02  1.4192713432E+04  1.4168742844E+04  1.4141151298E+04  1.4115050621E+04
  1.3429000000E-02  1.4314719565E+04  1.4288748585E+04  1.4258719535E+04  1.4230359193E+04
  1.3977000000E-02  1.4418724793E+04  1.4390640137E+04  1.4358008824E+04  1.4327242182E+04
  1.4547000000E-02  1.4504729116E+04  1.4474415862E+04  1.4439010019E+04  1.4405684369E+04
  1.5141000000E-02  1.4569732384E+04  1.4537079422E+04  1.4498722250E+04  1.4462682211E+04
  1.5759000000E-02  1.4613734596E+04  1.4578636596E+04  1.4537150638E+04  1.4498241290E+04
  1.6402000000E-02  1.4633735601E+04  1.4596100486E+04  1.4551312681E+04  1.4509384952E+04
  1.7072000000E-02  1.4630735450E+04  1.4590465364E+04  1.4542192904E+04  1.4497089916E+04
  1.7768000000E-02  1.4602734043E+04  1.4559760328E+04  1.4507836975E+04  1.4459418886E+04
  1.8493000000E-02  1.4548731328E+04  1.4502994679E+04  1.4447249646E+04  1.4395374363E+04
  1.9248000000E-02  1.4467727256E+04  1.4419190050E+04  1.4359461502E+04  1.4303997177E+04
  2.0034000000E-02  1.4359721827E+04  1.4308368333E+04  1.4244502997E+04  1.4185327533E+04
  2.0851000000E-02  1.4223714990E+04  1.4169565139E+04  1.4101431786E+04  1.4038445580E+04
  2.1702000000E-02  1.4060706796E+04  1.4003798299E+04  1.3931265104E+04  1.3864369975E+04
  2.2588000000E-02  1.3868697144E+04  1.3809111291E+04  1.3732075276E+04  1.3661202558E+04
  2.3510000000E-02  1.3649686135E+04  1.3587526300E+04  1.3505898660E+04  1.3430994439E+04
  2.4469000000E-02  1.3403673769E+04  1.3339100341E+04  1.3252820172E+04  1.3173858686E+04
  2.5468000000E-02  1.3132660146E+04  1.3065863355E+04  1.2974877507E+04  1.2891842183E+04
  2.6507000000E-02  1.2837645316E+04  1.2768869270E+04  1.2673160195E+04  1.2586069315E+04
  2.7589000000E-02  1.2519629330E+04  1.2449164292E+04  1.2348734899E+04  1.2257628202E+04
  2.8715000000E-02  1.2182612389E+04  1.2110777906E+04  1.2005645482E+04  1.1910576765E+04
  2.9887000000E-02  1.1828594594E+04  1.1755753192E+04  1.1645957440E+04  1.1547002997E+04
  3.1106000000E-02  1.1461576145E+04  1.1388114332E+04  1.1273707747E+04  1.1170956144E+04
  3.2376000000E-02  1.1083557142E+04  1.1009892612E+04  1.0890936964E+04  1.0784487356E+04
  3.3697000000E-02  1.0699537839E+04  1.0626091778E+04  1.0502653777E+04  1.0392609127E+04
  3.5072000000E-02  1.0312518384E+04  1.0239684959E+04  1.0111830743E+04  9.9982942848E+03
  3.6504000000E-02  9.9282990706E+03  9.8564333033E+03  9.7241925701E+03  9.6072324876E+03
  3.7993000000E-02  9.5497800434E+03  9.4792387425E+03  9.3426442118E+03  9.2223308455E+03
  3.9544000000E-02  9.1813615239E+03  9.1124263847E+03  8.9714572525E+03  8.8478107100E+03
  4.1158000000E-02  8.8271437183E+03  8.7600148104E+03  8.6146112573E+03  8.4876132754E+03
  4.2838000000E-02  8.4904267923E+03  8.4252050306E+03  8.2752528513E+03  8.1448332202E+03
  4.4586000000E-02  8.1736108668E+03  8.1102954068E+03  7.9556314357E+03  7.8216727777E+03
  4.6405000000E-02  7.8791960673E+03  7.8176501587E+03  7.6580423212E+03  7.5203610590E+03
  4.8299000000E-02  7.6083824542E+03  7.5483383843E+03  7.3834885093E+03  7.2418381765E+03
  5.0270000000E-02  7.3606700023E+03  7.3017677228E+03  7.1313433865E+03  6.9854442194E+03
  5.2322000000E-02  7.1353586765E+03  7.0771349694E+03  6.9007596641E+03  6.7502894542E+03
  5.4457000000E-02  6.9298483460E+03  6.8718092948E+03  6.6891105620E+03  6.5337494672E+03
  5.6680000000E-02  6.7406388349E+03  6.6823010412E+03  6.4929240892E+03  6.3323683024E+03
  5.8993000000E-02  6.5666300879E+03  6.5074428170E+03  6.3110245836E+03  6.1449574278E+03
  6.1400000000E-02  6.3953214767E+03  6.3352395076E+03  6.1316917169E+03  5.9600582325E+03
  6.3906000000E-02  6.2196126442E+03  6.1589816481E+03  5.9484162342E+03  5.7713484977E+03
  6.6514000000E-02  6.0353033795E+03  5.9747950574E+03  5.7575074591E+03  5.5753031312E+03
  6.9229000000E-02  5.8344932853E+03  5.7753457951E+03  5.5519523488E+03  5.3652069872E+03
  7.2054000000E-02  5.6119821002E+03  5.5561126178E+03  5.3275427575E+03  5.1371384951E+03
  7.4994000000E-02  5.3646696684E+03  5.3146155554E+03  5.0820917836E+03  4.8891756661E+03
  7.8055000000E-02  5.0924559849E+03  5.0512095707E+03  4.8161768758E+03  4.6220933290E+03
  8.1241000000E-02  4.7990412357E+03  4.7697531130E+03  4.5337687089E+03  4.3399525795E+03
  8.4556000000E-02  4.4914257727E+03  4.4770233166E+03  4.2416158957E+03  4.0494590488E+03
  8.8007000000E-02  4.1799101135E+03  4.1825927927E+03  3.9490661471E+03  3.7597353043E+03
  9.1598000000E-02  3.8765948667E+03  3.8973578090E+03  3.6666388332E+03  3.4809347081E+03
  9.5337000000E-02  3.5938806553E+03  3.6320749851E+03  3.4045773632E+03  3.2228123780E+03
  9.9227000000E-02  3.3420679973E+03  3.3952925428E+03  3.1708985048E+03  2.9928846210E+03
  1.0328000000E-01  3.1282572496E+03  3.1923790253E+03  2.9704601376E+03  2.7955355204E+03
  1.0749000000E-01  2.9546485227E+03  3.0243289108E+03  2.8039420099E+03  2.6311543760E+03
  1.1188000000E-01  2.8180416558E+03  2.8873607790E+03  2.6674428008E+03  2.4957364908E+03
  1.1644000000E-01  2.7096362066E+03  2.7733673610E+03  2.5531175619E+03  2.3816803968E+03
  1.2120000000E-01  2.6160315013E+03  2.6706850428E+03  2.4498555132E+03  2.2783862428E+03
  1.2614000000E-01  2.5214267458E+03  2.5666862585E+03  2.3459261010E+03  2.1749361769E+03
  1.3129000000E-01  2.4115212211E+03  2.4504339143E+03  2.2313020750E+03  2.0621209653E+03
  1.3665000000E-01  2.2774144799E+03  2.3160329742E+03  2.1008403518E+03  1.9354584080E+03
  1.4223000000E-01  2.1192065272E+03  2.1646658857E+03  1.9559631561E+03  1.7965619023E+03
  1.4803000000E-01  1.9467978606E+03  2.0045528961E+03  1.8044691793E+03  1.6528259102E+03
  1.5407000000E-01  1.7763892946E+03  1.8475028464E+03  1.6571922500E+03  1.5141943761E+03
  1.6036000000E-01  1.6248816787E+03  1.7047722279E+03  1.5242036493E+03  1.3896790189E+03
