  5.0531000000E-04 -3.4320474071E-02 -4.0576155963E-02 -1.4279530414E-02  2.4873488030E-05  5.1089627668E-06 -3.0018566136E-07  7.7087968296E-08 -2.3307608677E-07  8.0491592958E-08
  5.2593000000E-04 -3.7177508727E-02 -4.3953192788E-02 -1.5467421276E-02  2.9144303493E-05  5.9293121867E-06 -3.8468047100E-07  1.2428336721E-07 -2.6705834848E-07  9.7078483959E-08
  5.4739000000E-04 -4.0272069645E-02 -4.7610857352E-02 -1.6753930509E-02  3.4148380823E-05  6.8826231757E-06 -4.8860598413E-07  1.8758143274E-07 -3.0606123760E-07  1.1757910701E-07
  5.6973000000E-04 -4.3624763320E-02 -5.1573473569E-02 -1.8147590532E-02  4.0013085034E-05  7.9909071906E-06 -6.1607257910E-07  2.7168451340E-07 -3.5089524684E-07  1.4304317439E-07
  5.9299000000E-04 -4.7257752500E-02 -5.5867198219E-02 -1.9657573806E-02  4.6887735966E-05  9.2800306927E-06 -7.7184390800E-07  3.8244909543E-07 -4.0273192141E-07  1.7491480525E-07
  6.1719000000E-04 -5.1191535364E-02 -6.0516213399E-02 -2.1292353195E-02  5.4940123348E-05  1.0778334378E-05 -9.6182532981E-07  5.2773559209E-07 -4.6238011989E-07  2.1489521538E-07
  6.4237000000E-04 -5.5451270997E-02 -6.5550201307E-02 -2.3062329832E-02  6.4372631449E-05  1.2520607618E-05 -1.1929241181E-06  7.1763327498E-07 -5.3067740612E-07  2.6512426865E-07
  6.6859000000E-04 -6.0067530050E-02 -7.1005228869E-02 -2.4980142491E-02  7.5430192352E-05  1.4548412670E-05 -1.4736704341E-06  9.6492290012E-07 -6.0906429488E-07  3.2863952796E-07
  6.9588000000E-04 -6.5067786509E-02 -7.6913691537E-02 -2.7057130718E-02  8.8386806871E-05  1.6907865327E-05 -1.8140783162E-06  1.2859729232E-06 -6.9850032440E-07  4.0906051785E-07
  7.2427000000E-04 -7.0481279235E-02 -8.3310057011E-02 -2.9305353401E-02  1.0356022988E-04  1.9651903958E-05 -2.2261011889E-06  1.7012133776E-06 -8.0009519057E-07  5.1102040705E-07
  7.5383000000E-04 -7.6347191075E-02 -9.0240526507E-02 -3.1740982528E-02  1.2134465756E-04  2.2847607843E-05 -2.7237596709E-06  2.2361814989E-06 -9.1580117836E-07  6.4066110413E-07
  7.8460000000E-04 -8.2701637394E-02 -9.7747657526E-02 -3.4378896119E-02  1.4218336332E-04  2.6568422094E-05 -3.3239742898E-06  2.9240016074E-06 -1.0473469864E-06  8.0622765465E-07
  8.1662000000E-04 -8.9583175762E-02 -1.0587687175E-01 -3.7234964068E-02  1.6659369101E-04  3.0901169113E-05 -4.0461990512E-06  3.8075609798E-06 -1.1959545278E-06  1.0185048401E-06
  8.4994000000E-04 -9.7035213532E-02 -1.1467929516E-01 -4.0327043384E-02  1.9518551507E-04  3.5946518492E-05 -4.9142751224E-06  4.9419203333E-06 -1.3626404142E-06  1.2917735605E-06
  8.8463000000E-04 -1.0510897460E-01 -1.2421525722E-01 -4.3676203665E-02  2.2869101001E-04  4.1827271785E-05 -5.9561265684E-06  6.3960506569E-06 -1.5478896505E-06  1.6437979772E-06
  9.2073000000E-04 -1.1385228276E-01 -1.3454103728E-01 -4.7302068410E-02  2.6793576829E-04  4.8681631025E-05 -7.2034920956E-06  8.2562347441E-06 -1.7515748304E-06  2.0977041499E-06
  9.5831000000E-04 -1.2332373268E-01 -1.4572559632E-01 -5.1228687489E-02  3.1391700924E-04  5.6677726601E-05 -8.6944992996E-06  1.0633270966E-05 -1.9714297287E-06  2.6831098558E-06
  9.9742000000E-04 -1.3358102342E-01 -1.5783679146E-01 -5.5479691396E-02  3.6777279980E-04  6.6002620137E-05 -1.0474533367E-05  1.3669359247E-05 -2.2043229792E-06  3.4408551343E-06
  1.0381000000E-03 -1.4468292651E-01 -1.7094369608E-01 -6.0079102634E-02  4.3079716230E-04  7.6875327707E-05 -1.2593653116E-05  1.7512061515E-05 -2.4454443354E-06  4.4088819664E-06
  1.0805000000E-03 -1.5672367246E-01 -1.8515718104E-01 -6.5065566799E-02  5.0464851729E-04  8.9586818810E-05 -1.5115614122E-05  2.2266404453E-05 -2.6918307706E-06  5.5944335079E-06
  1.1246000000E-03 -1.6975517818E-01 -2.0053809184E-01 -7.0460127872E-02  5.9099101689E-04  1.0442674140E-04 -1.8103586938E-05  2.8106168161E-05 -2.9414248810E-06  7.0357271755E-06
  1.1705000000E-03 -1.8386827531E-01 -2.1719312807E-01 -7.6299860994E-02  6.9198483131E-04  1.2176795376E-04 -2.1640680143E-05  3.5261492764E-05 -3.1913670385E-06  8.7848690457E-06
  1.2182000000E-03 -1.9912842960E-01 -2.3519896016E-01 -8.2611248850E-02  8.0990372570E-04  1.4199744138E-04 -2.5818810141E-05  4.4002714315E-05 -3.4354073938E-06  1.0904252351E-05
  1.2680000000E-03 -2.1570538662E-01 -2.5475517876E-01 -8.9463777711E-02  9.4821704710E-04  1.6571539620E-04 -3.0770208506E-05  5.4719157585E-05 -3.6699093494E-06  1.3486642150E-05
  1.3197000000E-03 -2.3361116556E-01 -2.7587516060E-01 -9.6861590428E-02  1.1095093151E-03  1.9336912252E-04 -3.6599824406E-05  6.7754135006E-05 -3.8875432564E-06  1.6610114394E-05
  1.3736000000E-03 -2.5303341940E-01 -2.9877931780E-01 -1.0488126600E-01  1.2983546045E-03  2.2575638343E-04 -4.3478874346E-05  8.3648813005E-05 -4.0943092343E-06  2.0409631041E-05
