# Matter power spectrum P(k) at redshift z=0
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       3.992159711589e+01 
       1.329204939967e-05       4.983189302078e+01 
       1.673369876406e-05       6.220229706948e+01 
       2.106647860739e-05       7.764345103081e+01 
       2.652112525586e-05       9.691752517684e+01 
       3.338811853397e-05       1.209757607137e+02 
       4.203315087442e-05       1.510052611558e+02 
       5.291660177358e-05       1.884873115266e+02 
       6.661805467855e-05       2.352698940220e+02 
       8.386716191912e-05       2.936577123548e+02 
       1.055825013550e-04       3.665236046415e+02 
       1.329204939967e-04       4.574457444118e+02 
       1.673369876406e-04       5.708752617168e+02 
       2.106647860739e-04       7.123385733768e+02 
       2.652112525586e-04       8.886770743263e+02 
       3.338811853397e-04       1.108323181236e+03 
       4.203315087442e-04       1.381605243536e+03 
       5.291660177358e-04       1.721064970403e+03 
       6.661805467855e-04       2.141760598709e+03 
       8.386716191912e-04       2.661512121477e+03 
       1.055825013550e-03       3.300991118385e+03 
       1.329204939967e-03       4.083416177259e+03 
       1.673369876406e-03       5.033510248044e+03 
       2.106647860739e-03       6.175956528411e+03 
       2.652112525586e-03       7.531765726942e+03 
       3.338811853397e-03       9.113299040490e+03 
       4.203315087442e-03       1.091715430478e+04 
       5.291660177358e-03       1.286868241399e+04 
       6.661805467855e-03       1.497046055386e+04 
       8.386716191912e-03       1.707173825051e+04 
       1.055825013550e-02       1.898449036776e+04 
       1.329204939967e-02       2.044550768355e+04 
       1.673369876401e-02       2.112453008349e+04 
       2.106647832521e-02       2.069360947252e+04 
       2.652093720756e-02       1.898457544674e+04 
       3.336476225328e-02       1.626080630121e+04 
       4.132876331327e-02       1.351543171370e+04 
       4.786333859770e-02       1.195767345190e+04 
       5.263786138157e-02       1.117343090825e+04 
       5.660399909917e-02       1.067777610728e+04 
       6.015891045584e-02       1.030322475862e+04 
       6.348193975586e-02       9.975773554187e+03 
       6.666896154422e-02       9.658104098770e+03 
       6.977787413653e-02       9.328161330194e+03 
       7.284691362574e-02       8.976056325809e+03 
       7.590314258047e-02       8.598179127558e+03 
       7.896682294762e-02       8.196843128175e+03 
       8.205385790546e-02       7.779130309382e+03 
       8.517724439441e-02       7.355438207089e+03 
       8.834798208872e-02       6.937864025115e+03 
       9.157566623284e-02       6.539104496657e+03 
       9.486888769795e-02       6.170551698200e+03 
       9.823551066211e-02       5.841485707767e+03 
       1.016828698649e-01       5.558024671633e+03 
       1.052179133776e-01       5.322038647285e+03 
       1.088473074605e-01       5.131480392779e+03 
       1.125775144108e-01       4.979839595013e+03 
       1.164148507727e-01       4.856650257245e+03 
       1.203655310360e-01       4.748500335948e+03 
       1.244357004822e-01       4.640258762074e+03 
       1.286314598825e-01       4.517658509580e+03 
       1.329588841053e-01       4.369456976002e+03 
       1.374240362707e-01       4.191186578349e+03 
       1.420329788040e-01       3.985931552190e+03 
       1.467917825545e-01       3.763981955862e+03 
       1.517065350254e-01       3.541195368374e+03 
       1.567833486852e-01       3.334023335323e+03 
       1.620283702805e-01       3.156053757222e+03 
       1.674477920432e-01       3.014211173874e+03 
       1.730478656632e-01       2.907197952274e+03 
       1.788349198874e-01       2.825569644673e+03 
       1.848153825956e-01       2.755303355990e+03 
       1.909958082005e-01       2.679009822066e+03 
       1.973829112238e-01       2.583160838020e+03 
       2.039836069119e-01       2.465218485113e+03 
       2.108050597927e-01       2.333826923252e+03 
       2.178547411308e-01       2.204032998350e+03 
       2.251404963408e-01       2.089656265046e+03 
       2.326706235702e-01       1.998392067410e+03 
       2.404539648816e-01       1.928734674153e+03 
       2.485000117768e-01       1.870229004291e+03 
       2.568190272299e-01       1.809437912177e+03 
       2.654221869677e-01       1.738040741812e+03 
       2.743217435010e-01       1.656878845599e+03 
       2.835312174188e-01       1.575304279651e+03 
       2.930656217921e-01       1.503789714820e+03 
       3.029417273049e-01       1.445533847552e+03 
       3.131783780839e-01       1.395647409953e+03 
       3.237968713704e-01       1.345741467174e+03 
       3.348214184703e-01       1.290988357563e+03 
       3.462797103251e-01       1.234345681437e+03 
       3.582036192599e-01       1.181763290586e+03 
       3.706300800709e-01       1.136149876646e+03 
       3.836022102606e-01       1.094155125021e+03 
       3.971707535380e-01       1.051558565704e+03 
       4.113959668400e-01       1.008063151646e+03 
       4.263501259916e-01       9.667208092040e+02 
       4.421209102537e-01       9.286337579342e+02 
       4.588160614163e-01       8.918981416251e+02 
       4.765699344283e-01       8.549611540604e+02 
       4.955529295309e-01       8.189891219874e+02 
       5.159854462318e-01       7.845955278783e+02 
       5.381591781551e-01       7.503808871214e+02 
       5.624707995311e-01       7.163280492232e+02 
       5.894775350585e-01       6.825920635119e+02 
       6.199934557371e-01       6.483311895166e+02 
       6.552663243720e-01       6.132740950667e+02 
       6.973252581956e-01       5.765344124194e+02 
       7.497191308563e-01       5.369815778975e+02 
       8.192099334470e-01       4.926406530950e+02 
       9.197639947182e-01       4.403453894568e+02 
       1.079599244655e+00       3.762710833019e+02 
       1.332318999171e+00       3.030810526119e+02 
       1.675102486433e+00       2.340863479205e+02 
       2.108791753286e+00       1.745749104871e+02 
       2.654811403722e+00       1.252905162331e+02 
       3.342209539611e+00       8.662354740508e+01 
       4.207592520958e+00       5.794120892507e+01 
       5.297045147109e+00       3.769240476849e+01 
       6.668584743116e+00       2.397244043624e+01 
       8.395250793812e+00       1.497721187877e+01 
       1.056899456272e+01       9.229338169786e+00 
       1.330557583212e+01       5.628105619501e+00 
       1.675072753361e+01       3.405120035422e+00 
