# Matter power spectrum P(k) at redshift z=5
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       1.756488234858e+00 
       1.329204939967e-05       2.192526307298e+00 
       1.673369876406e-05       2.736806726493e+00 
       2.106647860739e-05       3.416198082324e+00 
       2.652112525586e-05       4.264236920091e+00 
       3.338811853397e-05       5.322781092127e+00 
       4.203315087442e-05       6.644071401736e+00 
       5.291660177358e-05       8.293301476674e+00 
       6.661805467855e-05       1.035181779373e+01 
       8.386716191912e-05       1.292109896019e+01 
       1.055825013550e-04       1.612769344346e+01 
       1.329204939967e-04       2.012932420949e+01 
       1.673369876406e-04       2.512239421278e+01 
       2.106647860739e-04       3.135112981401e+01 
       2.652112525586e-04       3.911855693969e+01 
       3.338811853397e-04       4.879935908956e+01 
       4.203315087442e-04       6.085433209265e+01 
       5.291660177358e-04       7.584547883645e+01 
       6.661805467855e-04       9.444962807406e+01 
       8.386716191912e-04       1.174667698156e+02 
       1.055825013550e-03       1.458175591953e+02 
       1.329204939967e-03       1.805230147243e+02 
       1.673369876406e-03       2.226594271883e+02 
       2.106647860739e-03       2.733034467133e+02 
       2.652112525586e-03       3.333877512268e+02 
       3.338811853397e-03       4.034657145227e+02 
       4.203315087442e-03       4.833823328952e+02 
       5.291660177358e-03       5.718495126570e+02 
       6.661805467855e-03       6.658834610461e+02 
       8.386716191912e-03       7.601726448258e+02 
       1.055825013550e-02       8.463979250911e+02 
       1.329204939967e-02       9.127552413543e+02 
       1.673369876401e-02       9.443713950352e+02 
       2.106647832521e-02       9.261072422168e+02 
       2.652093720756e-02       8.499797536634e+02 
       3.336476225328e-02       7.274821818254e+02 
       4.132876331327e-02       6.030569992121e+02 
       4.786333859770e-02       5.315360124978e+02 
       5.263786138157e-02       4.948173195479e+02 
       5.660399909917e-02       4.711180564594e+02 
       6.015891045584e-02       4.528639865578e+02 
       6.348193975586e-02       4.367907130311e+02 
       6.666896154422e-02       4.212172698016e+02 
       6.977787413653e-02       4.052283623070e+02 
       7.284691362574e-02       3.883697352485e+02 
       7.590314258047e-02       3.705110278752e+02 
       7.896682294762e-02       3.517683931551e+02 
       8.205385790546e-02       3.324458830195e+02 
       8.517724439441e-02       3.129779599791e+02 
       8.834798208872e-02       2.938716980255e+02 
       9.157566623284e-02       2.756464443795e+02 
       9.486888769795e-02       2.587738327172e+02 
       9.823551066211e-02       2.436282894177e+02 
       1.016828698649e-01       2.304449960077e+02 
       1.052179133776e-01       2.192938346363e+02 
       1.088473074605e-01       2.100652318564e+02 
       1.125775144108e-01       2.024750195542e+02 
       1.164148507727e-01       1.960803031758e+02 
       1.203655310360e-01       1.903195772438e+02 
       1.244357004822e-01       1.845798783917e+02 
       1.286314598825e-01       1.782911309698e+02 
       1.329588841053e-01       1.710364632085e+02 
       1.374240362707e-01       1.626502062827e+02 
       1.420329788040e-01       1.532703396506e+02 
       1.467917825545e-01       1.433182274417e+02 
       1.517065350254e-01       1.334025579428e+02 
       1.567833486852e-01       1.241745679390e+02 
       1.620283702805e-01       1.161601303324e+02 
       1.674477920432e-01       1.096242810641e+02 
       1.730478656632e-01       1.045092775476e+02 
       1.788349198874e-01       1.004341116643e+02 
       1.848153825956e-01       9.684188036948e+01 
       1.909958082005e-01       9.305903586238e+01 
       1.973829112238e-01       8.858304972207e+01 
       2.039836069119e-01       8.331624044461e+01 
       2.108050597927e-01       7.759440077840e+01 
       2.178547411308e-01       7.198668926320e+01 
       2.251404963408e-01       6.701788833319e+01 
       2.326706235702e-01       6.298268415737e+01 
       2.404539648816e-01       5.982126586968e+01 
       2.485000117768e-01       5.712839168463e+01 
       2.568190272299e-01       5.439112284442e+01 
       2.654221869677e-01       5.129033725249e+01 
       2.743217435010e-01       4.785505497618e+01 
       2.835312174188e-01       4.443703809459e+01 
       2.930656217921e-01       4.143861217482e+01 
       3.029417273049e-01       3.898324877441e+01 
       3.131783780839e-01       3.688345336323e+01 
       3.237968713704e-01       3.481312501629e+01 
       3.348214184703e-01       3.258149038571e+01 
       3.462797103251e-01       3.029895607895e+01 
       3.582036192599e-01       2.819791750345e+01 
       3.706300800709e-01       2.639476727551e+01 
       3.836022102606e-01       2.475844707806e+01 
       3.971707535380e-01       2.311822762850e+01 
       4.113959668400e-01       2.145866456896e+01 
       4.263501259916e-01       1.990351840408e+01 
       4.421209102537e-01       1.850111928912e+01 
       4.588160614163e-01       1.717313222602e+01 
       4.765699344283e-01       1.585308155019e+01 
