# Matter power spectrum P(k) at redshift z=1
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       1.459108235851e+01 
       1.329204939967e-05       1.821322889014e+01 
       1.673369876406e-05       2.273453550701e+01 
       2.106647860739e-05       2.837818715173e+01 
       2.652112525586e-05       3.542275945069e+01 
       3.338811853397e-05       4.421593733412e+01 
       4.203315087442e-05       5.519162587903e+01 
       5.291660177358e-05       6.889127685392e+01 
       6.661805467855e-05       8.599041611916e+01 
       8.386716191912e-05       1.073315962608e+02 
       1.055825013550e-04       1.339652100496e+02 
       1.329204939967e-04       1.671998112680e+02 
       1.673369876406e-04       2.086637037112e+02 
       2.106647860739e-04       2.603794714051e+02 
       2.652112525586e-04       3.248525412094e+02 
       3.338811853397e-04       4.051734438830e+02 
       4.203315087442e-04       5.051306333135e+02 
       5.291660177358e-04       6.293262564249e+02 
       6.661805467855e-04       7.832817061731e+02 
       8.386716191912e-04       9.735148746261e+02 
       1.055825013550e-03       1.207564860217e+03 
       1.329204939967e-03       1.493903893676e+03 
       1.673369876406e-03       1.841585308825e+03 
       2.106647860739e-03       2.259642636198e+03 
       2.652112525586e-03       2.755762203991e+03 
       3.338811853397e-03       3.334469120206e+03 
       4.203315087442e-03       3.994518564986e+03 
       5.291660177358e-03       4.718575421863e+03 
       6.661805467855e-03       5.492376940765e+03 
       8.386716191912e-03       6.267212776574e+03 
       1.055825013550e-02       6.974283130969e+03 
       1.329204939967e-02       7.516469056158e+03 
       1.673369876401e-02       7.771413800061e+03 
       2.106647832521e-02       7.616224260878e+03 
       2.652093720756e-02       6.986519868526e+03 
       3.336476225328e-02       5.979200616222e+03 
       4.132876331327e-02       4.960193302030e+03 
       4.786333859770e-02       4.377085251255e+03 
       5.263786138157e-02       4.079088661551e+03 
       5.660399909917e-02       3.887577982450e+03 
       6.015891045584e-02       3.740596115148e+03 
       6.348193975586e-02       3.611429815794e+03 
       6.666896154422e-02       3.486311040944e+03 
       6.977787413653e-02       3.357718499767e+03 
       7.284691362574e-02       3.222047703975e+03 
       7.590314258047e-02       3.078029364029e+03 
       7.896682294762e-02       2.926885609387e+03 
       8.205385790546e-02       2.770910689333e+03 
       8.517724439441e-02       2.613731550832e+03 
       8.834798208872e-02       2.459503538633e+03 
       9.157566623284e-02       2.312440037125e+03 
       9.486888769795e-02       2.176448533742e+03 
       9.823551066211e-02       2.054525883323e+03 
       1.016828698649e-01       1.948648278183e+03 
       1.052179133776e-01       1.859315619105e+03 
       1.088473074605e-01       1.785664799367e+03 
       1.125775144108e-01       1.725374403780e+03 
       1.164148507727e-01       1.674805161739e+03 
       1.203655310360e-01       1.629365966337e+03 
       1.244357004822e-01       1.584048378082e+03 
       1.286314598825e-01       1.534188022274e+03 
       1.329588841053e-01       1.476377757766e+03 
       1.374240362707e-01       1.409200896119e+03 
       1.420329788040e-01       1.333828086441e+03 
