# Matter power spectrum P(k) at redshift z=2
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       6.879400491007e+00 
       1.329204939967e-05       8.587170424385e+00 
       1.673369876406e-05       1.071887608984e+01 
       2.106647860739e-05       1.337974841637e+01 
       2.652112525586e-05       1.670113169541e+01 
       3.338811853397e-05       2.084695527394e+01 
       4.203315087442e-05       2.602180736143e+01 
       5.291660177358e-05       3.248099004801e+01 
       6.661805467855e-05       4.054303587261e+01 
       8.386716191912e-05       5.060526253683e+01 
       1.055825013550e-04       6.316304917256e+01 
       1.329204939967e-04       7.883362566846e+01 
       1.673369876406e-04       9.838523442639e+01 
       2.106647860739e-04       1.227724977472e+02 
       2.652112525586e-04       1.531785794163e+02 
       3.338811853397e-04       1.910640671632e+02 
       4.203315087442e-04       2.382211180997e+02 
       5.291660177358e-04       2.968289761359e+02 
       6.661805467855e-04       3.695034832431e+02 
       8.386716191912e-04       4.593296043902e+02 
       1.055825013550e-03       5.698640684978e+02 
       1.329204939967e-03       7.050882894277e+02 
       1.673369876406e-03       8.692605821939e+02 
       2.106647860739e-03       1.066653486851e+03 
       2.652112525586e-03       1.300895617473e+03 
       3.338811853397e-03       1.574122721880e+03 
       4.203315087442e-03       1.885747573283e+03 
       5.291660177358e-03       2.230739267218e+03 
       6.661805467855e-03       2.597458121226e+03 
       8.386716191912e-03       2.965261539595e+03 
       1.055825013550e-02       3.301475425523e+03 
       1.329204939967e-02       3.560251328558e+03 
       1.673369876401e-02       3.683537132765e+03 
       2.106647832521e-02       3.612293289403e+03 
       2.652093720756e-02       3.315347298239e+03 
       3.336476225328e-02       2.837544677076e+03 
       4.132876331327e-02       2.352216808611e+03 
       4.786333859770e-02       2.073253133984e+03 
       5.263786138157e-02       1.930030727151e+03 
       5.660399909917e-02       1.837591387596e+03 
       6.015891045584e-02       1.766393600635e+03 
       6.348193975586e-02       1.703700469678e+03 
       6.666896154422e-02       1.642957019943e+03 
       6.977787413653e-02       1.580590830003e+03 
       7.284691362574e-02       1.514835187365e+03 
       7.590314258047e-02       1.445168084495e+03 
       7.896682294762e-02       1.372069556595e+03 
       8.205385790546e-02       1.296703531128e+03 
       8.517724439441e-02       1.220768138544e+03 
       8.834798208872e-02       1.146245323513e+03 
       9.157566623284e-02       1.075155564927e+03 
       9.486888769795e-02       1.009344690257e+03 
       9.823551066211e-02       9.502684047004e+02 
       1.016828698649e-01       8.988483005518e+02 
       1.052179133776e-01       8.553522996244e+02 
       1.088473074605e-01       8.193554386473e+02 
       1.125775144108e-01       7.897510961423e+02 
       1.164148507727e-01       7.648087324154e+02 
       1.203655310360e-01       7.423394814265e+02 
       1.244357004822e-01       7.199511497824e+02 
       1.286314598825e-01       6.954202156211e+02 
       1.329588841053e-01       6.671269266882e+02 
       1.374240362707e-01       6.344164631856e+02 
       1.420329788040e-01       5.978300448790e+02 
       1.467917825545e-01       5.590106742405e+02 
       1.517065350254e-01       5.203348005432e+02 
       1.567833486852e-01       4.843420014367e+02 
       1.620283702805e-01       4.530796546849e+02 
       1.674477920432e-01       4.275883408203e+02 
       1.730478656632e-01       4.076375713341e+02 
       1.788349198874e-01       3.917416831417e+02 
       1.848153825956e-01       3.777307095283e+02 
       1.909958082005e-01       3.629764835225e+02 
       1.973829112238e-01       3.455164526476e+02 
       2.039836069119e-01       3.249737011271e+02 
       2.108050597927e-01       3.026563592577e+02 
       2.178547411308e-01       2.807835529983e+02 
       2.251404963408e-01       2.614026077548e+02 
       2.326706235702e-01       2.456629944105e+02 
       2.404539648816e-01       2.333321081129e+02 
       2.485000117768e-01       2.228286955919e+02 
       2.568190272299e-01       2.121518121528e+02 
       2.654221869677e-01       2.000568383080e+02 
       2.743217435010e-01       1.866581286893e+02 
       2.835312174188e-01       1.733265141225e+02 
       2.930656217921e-01       1.616310737592e+02 
       3.029417273049e-01       1.520536814081e+02 
       3.131783780839e-01       1.438631307155e+02 
       3.237968713704e-01       1.357881342353e+02 
       3.348214184703e-01       1.270838538048e+02 
       3.462797103251e-01       1.181807488359e+02 
       3.582036192599e-01       1.099856264570e+02 
       3.706300800709e-01       1.029524836759e+02 
       3.836022102606e-01       9.657000756406e+01 
       3.971707535380e-01       9.017238387675e+01 
       4.113959668400e-01       8.369925953529e+01 
       4.263501259916e-01       7.763343433400e+01 
       4.421209102537e-01       7.216346280433e+01 
       4.588160614163e-01       6.698357742804e+01 
       4.765699344283e-01       6.183474922925e+01 
       4.955529295309e-01       5.691419748768e+01 
       5.159854462318e-01       5.234281989906e+01 
       5.381591781551e-01       4.788708346640e+01 
       5.624707995311e-01       4.355927182724e+01 
       5.894775350585e-01       3.941741496622e+01 
       6.199934557371e-01       3.534243227943e+01 
       6.552663243720e-01       3.134621179211e+01 
       6.973252581956e-01       2.735504706495e+01 
       7.497191308563e-01       2.331701934538e+01 
       8.192099334470e-01       1.914109739845e+01 
       9.197639947182e-01       1.474875273735e+01 
       1.079599244655e+00       1.022953891819e+01 
       1.332318999171e+00       6.274939598734e+00 
       1.675102486433e+00       3.649909546628e+00 
       2.108791753286e+00       2.096795749082e+00 
       2.654811403722e+00       1.194318872768e+00 
       3.342209539611e+00       6.750686868228e-01 
       4.207592520958e+00       3.789182511183e-01 
       5.297045147109e+00       2.113435235102e-01 
       6.668584743116e+00       1.171947330733e-01 
       8.395250793812e+00       6.464368894556e-02 
       1.056899456272e+01       3.548358614074e-02 
       1.330557583212e+01       1.938919899168e-02 
       1.675072753361e+01       1.055066078114e-02 
       2.108791655810e+01       5.718679420106e-03 
       2.654811403678e+01       3.088196598769e-03 
       3.342209539611e+01       1.661725574414e-03 
       4.207592520958e+01       8.909827512487e-04 
       5.297045147109e+01       4.760041303534e-04 
       6.668584743116e+01       2.533127403828e-04 
       8.395250793812e+01       1.342025968645e-04 
       1.056899456272e+02       7.071508302878e-05 
