# Matter power spectrum P(k) at redshift z=1
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       1.459108235851e+01 
       1.329204939967e-05       1.821322889014e+01 
       1.673369876406e-05       2.273453550701e+01 
       2.106647860739e-05       2.837818715173e+01 
       2.652112525586e-05       3.542275945069e+01 
       3.338811853397e-05       4.421593733412e+01 
       4.203315087442e-05       5.519162587903e+01 
       5.291660177358e-05       6.889127685392e+01 
       6.661805467855e-05       8.599041611916e+01 
       8.386716191912e-05       1.073315962608e+02 
       1.055825013550e-04       1.339652100496e+02 
       1.329204939967e-04       1.671998112680e+02 
       1.673369876406e-04       2.086637037112e+02 
       2.106647860739e-04       2.603794714051e+02 
       2.652112525586e-04       3.248525412094e+02 
       3.338811853397e-04       4.051734438830e+02 
       4.203315087442e-04       5.051306333135e+02 
       5.291660177358e-04       6.293262564249e+02 
       6.661805467855e-04       7.832817061731e+02 
       8.386716191912e-04       9.735148746261e+02 
       1.055825013550e-03       1.207564860217e+03 
       1.329204939967e-03       1.493903893676e+03 
       1.673369876406e-03       1.841585308825e+03 
       2.106647860739e-03       2.259642636198e+03 
       2.652112525586e-03       2.755762203991e+03 
       3.338811853397e-03       3.334469120206e+03 
       4.203315087442e-03       3.994518564986e+03 
       5.291660177358e-03       4.725252946115e+03 
       6.661805467855e-03       5.502077607098e+03 
       8.386716191912e-03       6.280969971155e+03 
       1.055825013550e-02       6.993183415927e+03 
       1.329204939967e-02       7.541348716977e+03 
       1.673369876401e-02       7.802294097534e+03 
       2.106647832521e-02       7.651540118914e+03 
       2.652093720756e-02       7.022534257194e+03 
       3.336476225328e-02       6.010492082962e+03 
       4.132876331327e-02       4.982437631006e+03 
       4.786333859770e-02       4.391547751469e+03 
       5.263786138157e-02       4.088162642473e+03 
       5.660399909917e-02       3.892343495040e+03 
       6.015891045584e-02       3.741542276300e+03 
       6.348193975586e-02       3.608769751614e+03 
       6.666896154422e-02       3.480114487124e+03 
       6.977787413653e-02       3.347980361933e+03 
       7.284691362574e-02       3.208730306184e+03 
       7.590314258047e-02       3.061085859515e+03 
       7.896682294762e-02       2.906281391402e+03 
       8.205385790546e-02       2.746630806268e+03 
       8.517724439441e-02       2.585790965221e+03 
       8.834798208872e-02       2.427952406911e+03 
       9.157566623284e-02       2.277367320661e+03 
       9.486888769795e-02       2.137984163717e+03 
       9.823551066211e-02       2.012837177384e+03 
       1.016828698649e-01       1.903933192684e+03 
       1.052179133776e-01       1.811787735151e+03 
       1.088473074605e-01       1.735535817976e+03 
       1.125775144108e-01       1.672833743657e+03 
       1.164148507727e-01       1.620002210988e+03 
       1.203655310360e-01       1.572400433091e+03 
       1.244357004822e-01       1.524971357457e+03 
       1.286314598825e-01       1.473013323014e+03 
       1.329588841053e-01       1.413099128439e+03 
       1.374240362707e-01       1.343808336527e+03 
       1.420329788040e-01       1.266322276945e+03 
