# Matter power spectrum P(k) at redshift z=4
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       2.525435702163e+00 
       1.329204939967e-05       3.152360384203e+00 
       1.673369876406e-05       3.934913046370e+00 
       2.106647860739e-05       4.911724492092e+00 
       2.652112525586e-05       6.131012314965e+00 
       3.338811853397e-05       7.652957894051e+00 
       4.203315087442e-05       9.552670117747e+00 
       5.291660177358e-05       1.192387953984e+01 
       6.661805467855e-05       1.488353768717e+01 
       8.386716191912e-05       1.857753535894e+01 
       1.055825013550e-04       2.318779575522e+01 
       1.329204939967e-04       2.894103987555e+01 
       1.673369876406e-04       3.611955450490e+01 
       2.106647860739e-04       4.507429422404e+01 
       2.652112525586e-04       5.624057865310e+01 
       3.338811853397e-04       7.015642611041e+01 
       4.203315087442e-04       8.748306810352e+01 
       5.291660177358e-04       1.090262262089e+02 
       6.661805467855e-04       1.357551319543e+02 
       8.386716191912e-04       1.688141049463e+02 
       1.055825013550e-03       2.095196201236e+02 
       1.329204939967e-03       2.593344023953e+02 
       1.673369876406e-03       3.198083895774e+02 
       2.106647860739e-03       3.924999722245e+02 
       2.652112525586e-03       4.787526880548e+02 
       3.338811853397e-03       5.793535410206e+02 
       4.203315087442e-03       6.940840902908e+02 
       5.291660177358e-03       8.209591467093e+02 
       6.661805467855e-03       9.559044976052e+02 
       8.386716191912e-03       1.091201327513e+03 
       1.055825013550e-02       1.214930516578e+03 
       1.329204939967e-02       1.310096758810e+03 
       1.673369876401e-02       1.355443933999e+03 
       2.106647832521e-02       1.329263843574e+03 
       2.652093720756e-02       1.220133254954e+03 
       3.336476225328e-02       1.044546928102e+03 
       4.132876331327e-02       8.662623077017e+02 
       4.786333859770e-02       7.638989675482e+02 
       5.263786138157e-02       7.114507664897e+02 
       5.660399909917e-02       6.776753454390e+02 
       6.015891045584e-02       6.517074766409e+02 
       6.348193975586e-02       6.288600708777e+02 
       6.666896154422e-02       6.067153757254e+02 
       6.977787413653e-02       5.839534643327e+02 
       7.284691362574e-02       5.599164758495e+02 
       7.590314258047e-02       5.344131491169e+02 
       7.896682294762e-02       5.076086141643e+02 
       8.205385790546e-02       4.799409525620e+02 
       8.517724439441e-02       4.520385804207e+02 
       8.834798208872e-02       4.246368252720e+02 
       9.157566623284e-02       3.984903660347e+02 
       9.486888769795e-02       3.742859901005e+02 
       9.823551066211e-02       3.525705626700e+02 
       1.016828698649e-01       3.336896632716e+02 
       1.052179133776e-01       3.177496574914e+02 
       1.088473074605e-01       3.045966059129e+02 
       1.125775144108e-01       2.938226265729e+02 
       1.164148507727e-01       2.847876800182e+02 
       1.203655310360e-01       2.766763632474e+02 
       1.244357004822e-01       2.685941535676e+02 
       1.286314598825e-01       2.597044698074e+02 
       1.329588841053e-01       2.493907973604e+02 
       1.374240362707e-01       2.374027245549e+02 
       1.420329788040e-01       2.239361072935e+02 
       1.467917825545e-01       2.096061324101e+02 
       1.517065350254e-01       1.953069393872e+02 
       1.567833486852e-01       1.819983101694e+02 
       1.620283702805e-01       1.704577465924e+02 
       1.674477920432e-01       1.610804874125e+02 
       1.730478656632e-01       1.537875568139e+02 
       1.788349198874e-01       1.480226834377e+02 
       1.848153825956e-01       1.429662691747e+02 
       1.909958082005e-01       1.376191205267e+02 
       1.973829112238e-01       1.312286582166e+02 
       2.039836069119e-01       1.236422037524e+02 
       2.108050597927e-01       1.153558093607e+02 
       2.178547411308e-01       1.072185846762e+02 
       2.251404963408e-01       1.000167321166e+02 
       2.326706235702e-01       9.419496110168e+01 
       2.404539648816e-01       8.966906065626e+01 
       2.485000117768e-01       8.583569646563e+01 
       2.568190272299e-01       8.192417160765e+01 
       2.654221869677e-01       7.744995338473e+01 
       2.743217435010e-01       7.245300287875e+01 
       2.835312174188e-01       6.746461332531e+01 
       2.930656217921e-01       6.309613316272e+01 
       3.029417273049e-01       5.953823382792e+01 
       3.131783780839e-01       5.650932429801e+01 
       3.237968713704e-01       5.351356408470e+01 
       3.348214184703e-01       5.025796991058e+01 
       3.462797103251e-01       4.691029947287e+01 
       3.582036192599e-01       4.382767591492e+01 
       3.706300800709e-01       4.119100483167e+01 
       3.836022102606e-01       3.880038026467e+01 
       3.971707535380e-01       3.639256942958e+01 
       4.113959668400e-01       3.394318915312e+01 
       4.263501259916e-01       3.164459684917e+01 
       4.421209102537e-01       2.957316162216e+01 
       4.588160614163e-01       2.760777237634e+01 
       4.765699344283e-01       2.564470052764e+01 
       4.955529295309e-01       2.376346146861e+01 
       5.159854462318e-01       2.201347584325e+01 
       5.381591781551e-01       2.030090602642e+01 
       5.624707995311e-01       1.863089813316e+01 
       5.894775350585e-01       1.702735950833e+01 
       6.199934557371e-01       1.544185713158e+01 
       6.552663243720e-01       1.387911673271e+01 
       6.973252581956e-01       1.230833232194e+01 
       7.497191308563e-01       1.070668419910e+01 
       8.192099334470e-01       9.033101493484e+00 
       9.197639947182e-01       7.246554897010e+00 
       1.079599244655e+00       5.364936707738e+00 
       1.332318999171e+00       3.653080535240e+00 
       1.675102486433e+00       2.445586389622e+00 
       2.108791753286e+00       1.667673951027e+00 
       2.654811403722e+00       1.161631453642e+00 
       3.342209539611e+00       8.248507837604e-01 
       4.207592520958e+00       5.944455738109e-01 
       5.297045147109e+00       4.321219057079e-01 
       6.668584743116e+00       3.145939691862e-01 
       8.395250793812e+00       2.276717363488e-01 
       1.056899456272e+01       1.626240708337e-01 
       1.330557583212e+01       1.139426921515e-01 
       1.675072753361e+01       7.794661998701e-02 
       2.108791655810e+01       5.192497368021e-02 
       2.654811403678e+01       3.366619163405e-02 
       3.342209539611e+01       2.126848724646e-02 
       4.207592520958e+01       1.311971543918e-02 
       5.297045147109e+01       7.924607337853e-03 
       6.668584743116e+01       4.703219071394e-03 
       8.395250793812e+01       2.752804365339e-03 
       1.056899456272e+02       1.594213179901e-03 
