# Matter power spectrum P(k) at redshift z=2
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       6.879400491007e+00 
       1.329204939967e-05       8.587170424385e+00 
       1.673369876406e-05       1.071887608984e+01 
       2.106647860739e-05       1.337974841637e+01 
       2.652112525586e-05       1.670113169541e+01 
       3.338811853397e-05       2.084695527394e+01 
       4.203315087442e-05       2.602180736143e+01 
       5.291660177358e-05       3.248099004801e+01 
       6.661805467855e-05       4.054303587261e+01 
       8.386716191912e-05       5.060526253683e+01 
       1.055825013550e-04       6.316304917256e+01 
       1.329204939967e-04       7.883362566846e+01 
       1.673369876406e-04       9.838523442639e+01 
       2.106647860739e-04       1.227724977472e+02 
       2.652112525586e-04       1.531785794163e+02 
       3.338811853397e-04       1.910640671632e+02 
       4.203315087442e-04       2.382211180997e+02 
       5.291660177358e-04       2.968289761359e+02 
       6.661805467855e-04       3.695034832431e+02 
       8.386716191912e-04       4.593296043902e+02 
       1.055825013550e-03       5.698640684978e+02 
       1.329204939967e-03       7.050882894277e+02 
       1.673369876406e-03       8.692605821939e+02 
       2.106647860739e-03       1.066653486851e+03 
       2.652112525586e-03       1.300895617473e+03 
       3.338811853397e-03       1.574122721880e+03 
       4.203315087442e-03       1.885747573283e+03 
       5.291660177358e-03       2.229391861400e+03 
       6.661805467855e-03       2.595509780787e+03 
       8.386716191912e-03       2.962517241035e+03 
       1.055825013550e-02       3.297744280585e+03 
       1.329204939967e-02       3.555419444279e+03 
       1.673369876401e-02       3.677697735782e+03 
       2.106647832521e-02       3.605916552937e+03 
       2.652093720756e-02       3.309391804859e+03 
       3.336476225328e-02       2.833323867040e+03 
       4.132876331327e-02       2.350745485699e+03 
       4.786333859770e-02       2.074109653565e+03 
       5.263786138157e-02       1.932532471072e+03 
       5.660399909917e-02       1.841427614223e+03 
       6.015891045584e-02       1.771413489916e+03 
       6.348193975586e-02       1.709823407441e+03 
       6.666896154422e-02       1.650135602123e+03 
       6.977787413653e-02       1.588792630501e+03 
       7.284691362574e-02       1.524032928782e+03 
       7.590314258047e-02       1.455334580161e+03 
       7.896682294762e-02       1.383175525217e+03 
       8.205385790546e-02       1.308717411983e+03 
       8.517724439441e-02       1.233656672925e+03 
       8.834798208872e-02       1.159974366411e+03 
       9.157566623284e-02       1.089690644906e+03 
       9.486888769795e-02       1.024651275511e+03 
       9.823551066211e-02       9.663121577759e+02 
       1.016828698649e-01       9.155956835242e+02 
       1.052179133776e-01       8.727717872550e+02 
       1.088473074605e-01       8.374191042074e+02 
       1.125775144108e-01       8.084359006543e+02 
       1.164148507727e-01       7.840964839175e+02 
       1.203655310360e-01       7.622145489037e+02 
       1.244357004822e-01       7.403958957304e+02 
       1.286314598825e-01       7.164095896700e+02 
       1.329588841053e-01       6.886249372728e+02 
       1.374240362707e-01       6.563771038755e+02 
       1.420329788040e-01       6.202030949534e+02 
       1.467917825545e-01       5.817496291591e+02 
       1.517065350254e-01       5.434027943267e+02 
       1.567833486852e-01       5.077131620582e+02 
       1.620283702805e-01       4.767366245430e+02 
       1.674477920432e-01       4.515189930201e+02 
       1.730478656632e-01       4.318325995091e+02 
       1.788349198874e-01       4.161915122019e+02 
       1.848153825956e-01       4.024204759200e+02 
       1.909958082005e-01       3.878768274735e+02 
       1.973829112238e-01       3.705800615275e+02 
       2.039836069119e-01       3.501447579158e+02 
       2.108050597927e-01       3.278873909682e+02 
       2.178547411308e-01       3.060458773146e+02 
       2.251404963408e-01       2.866845919044e+02 
       2.326706235702e-01       2.709625312572e+02 
       2.404539648816e-01       2.586479944866e+02 
       2.485000117768e-01       2.481512018426e+02 
       2.568190272299e-01       2.374555257667e+02 
       2.654221869677e-01       2.253030307268e+02 
       2.743217435010e-01       2.118081277763e+02 
       2.835312174188e-01       1.983565755109e+02 
       2.930656217921e-01       1.865339990111e+02 
       3.029417273049e-01       1.768276104034e+02 
       3.131783780839e-01       1.685006719352e+02 
       3.237968713704e-01       1.602703071638e+02 
       3.348214184703e-01       1.513840081725e+02 
       3.462797103251e-01       1.422774499361e+02 
       3.582036192599e-01       1.338677168296e+02 
       3.706300800709e-01       1.266135668470e+02 
       3.836022102606e-01       1.199988438790e+02 
       3.971707535380e-01       1.133513750919e+02 
       4.113959668400e-01       1.066105231639e+02 
       4.263501259916e-01       1.002638112523e+02 
       4.421209102537e-01       9.450090478485e+01 
       4.588160614163e-01       8.901261427874e+01 
       4.765699344283e-01       8.353705399577e+01 
       4.955529295309e-01       7.827176213564e+01 
       5.159854462318e-01       7.333625564714e+01 
       5.381591781551e-01       6.849279770327e+01 
       5.624707995311e-01       6.374993167358e+01 
       5.894775350585e-01       5.916010612440e+01 
       6.199934557371e-01       5.459565001830e+01 
       6.552663243720e-01       5.005576198328e+01 
       6.973252581956e-01       4.544675980653e+01 
       7.497191308563e-01       4.068336622351e+01 
       8.192099334470e-01       3.561617739690e+01 
       9.197639947182e-01       3.006225312125e+01 
       1.079599244655e+00       2.395883977337e+01 
       1.332318999171e+00       1.800182968254e+01 
       1.675102486433e+00       1.334046481716e+01 
       2.108791753286e+00       9.926589901110e+00 
       2.654811403722e+00       7.374749327350e+00 
       3.342209539611e+00       5.430716493523e+00 
       4.207592520958e+00       3.938117149641e+00 
       5.297045147109e+00       2.797244356888e+00 
       6.668584743116e+00       1.938620527253e+00 
       8.395250793812e+00       1.307647125976e+00 
       1.056899456272e+01       8.575223100965e-01 
       1.330557583212e+01       5.470874568861e-01 
       1.675072753361e+01       3.404760575640e-01 
       2.108791655810e+01       2.075035003616e-01 
       2.654811403678e+01       1.243462009205e-01 
       3.342209539611e+01       7.353641994303e-02 
       4.207592520958e+01       4.305137458724e-02 
       5.297045147109e+01       2.501373103922e-02 
       6.668584743116e+01       1.445206584745e-02 
       8.395250793812e+01       8.315553039916e-03 
       1.056899456272e+02       4.770326828261e-03 
